"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",747.194195359907,-0.350702962281386,0.168242083225413,-2.08451390732906,0.037113446527485,0.163017154193376
"ENSG00000000005",0,NA,NA,NA,NA,NA
"ENSG00000000419",520.134160051965,0.206107283859604,0.101041504449273,2.03982793984503,0.0413674659616393,0.175936611061226
"ENSG00000000457",322.664843927049,0.0245270113332313,0.145133863746686,0.168995785684038,0.865799956260457,0.961682459667372
"ENSG00000000460",87.682625164828,-0.147142630021682,0.25699544204698,-0.572549570722672,0.566949713030672,0.815805192481519
"ENSG00000000938",0.319166568913118,-1.73228897394308,3.49360097648095,-0.495846258804286,0.620002884826012,NA
"ENSG00000000971",5760.14836162122,0.459281901677215,0.234317862417671,1.96008062269937,0.0499863677075796,0.200967225625509
"ENSG00000001036",2025.39179382894,-0.228243775347849,0.12499899376441,-1.82596490158975,0.0678555488820739,0.2467400450946
"ENSG00000001084",652.173308358757,-0.253030788212287,0.202576353336744,-1.24906379271065,0.21164174228333,0.495029218051125
"ENSG00000001167",411.684395281717,-0.533733422545991,0.228792179434635,-2.33283071066892,0.0196570321507378,0.105242493593587
"ENSG00000001460",201.336569053853,-0.12355768416394,0.16110148233255,-0.766955600749152,0.443107913936236,0.730575527744363
"ENSG00000001461",2918.77668675377,0.00210155962293654,0.288715698829655,0.00727899324995305,0.994192254953731,0.998014297161414
"ENSG00000001497",539.501702816792,-0.0573209155426036,0.109328548105935,-0.524299613739146,0.600070165508675,0.837567132880743
"ENSG00000001561",115.914401421895,0.286817003150613,0.716013999282036,0.400574574572858,0.688733368113469,0.887129346834367
"ENSG00000001617",604.297522477042,-0.192202823229569,0.198689546634753,-0.96735246763078,0.333367863123315,0.63898808376886
"ENSG00000001626",9.6724145714589,-0.286393736030515,0.586213534248082,-0.488548488389753,0.625161389354516,NA
"ENSG00000001629",1826.75812135437,-0.246091168768387,0.190393749931736,-1.2925380631277,0.196170873159249,0.474424555972158
"ENSG00000001630",979.608386428197,-0.179753409132618,0.121371315352245,-1.48102052458554,0.13860110426786,0.386398734460776
"ENSG00000001631",848.723819299268,-0.07125492153455,0.153647890269512,-0.463754636718816,0.642823547471941,0.862088251701279
"ENSG00000002016",203.735815126675,-0.411582551314446,0.228450695008626,-1.80162529730498,0.0716043784110474,0.255766111093234
"ENSG00000002079",3.06484852801131,1.06113089787817,1.77215403624212,0.598780284431884,0.549319411286866,NA
"ENSG00000002330",688.667589034695,0.0103250959425088,0.0964087218896195,0.107097114660748,0.914711936170773,0.976982398980822
"ENSG00000002549",1229.98469317186,0.164300715348852,0.177394153027729,0.926190139554203,0.354347175971508,0.656664150009225
"ENSG00000002586",8367.26727634875,0.0792894245572879,0.13163558080307,0.60234037084477,0.546947593229173,0.801478697095217
"ENSG00000002587",1.95953335698007,0.399067136454633,1.15871210651536,0.344405771037262,0.730541149389281,NA
"ENSG00000002726",1.53531673945229,0.804935220384209,1.80328135887569,0.446372506665334,0.65532818913219,NA
"ENSG00000002745",7.28561888515924,-0.616756473606905,1.02004743750985,-0.604635089435188,0.545421486295219,NA
"ENSG00000002746",126.130005973738,0.193681258628334,0.308349671814759,0.628122149404098,0.529923924260163,0.78853388022403
"ENSG00000002822",351.152304336473,-0.0573889279678064,0.150024114955265,-0.382531354941962,0.702067276194164,0.893013370367161
"ENSG00000002834",8609.18275618938,0.416875049240616,0.108289883981109,3.84962134887262,0.00011830056370299,0.001828504573258
"ENSG00000002919",251.500095596273,0.34197277110531,0.144325320692324,2.36945789875869,0.0178141831341024,0.098790114817276
"ENSG00000002933",546.441449222623,0.404466498425364,1.40062631378887,0.288775453126559,0.772753217770892,0.925746124419443
